r,g,b,h,s,v
181,130,169,314,28,71
62,69,243,238,74,95
162,228,205,159,29,89
103,129,138,195,25,54
239,155,159,357,35,94
225,102,104,359,55,88
245,176,214,327,28,96
70,232,171,157,70,91
66,51,1,46,98,26
13,37,230,233,94,90
52,165,179,187,71,70
242,242,103,60,57,95
186,214,63,71,71,84
180,249,194,132,28,98
23,159,91,150,86,62
87,121,161,212,46,63
38,151,118,162,75,59
77,152,163,188,53,64
81,180,249,205,67,98
172,181,183,191,6,72
253,11,77,344,96,99
45,84,183,223,75,72
178,56,73,352,69,70
199,18,143,319,91,78
171,86,135,325,50,67
233,240,97,63,60,94
128,91,164,270,45,64
51,110,78,147,54,43
254,198,197,1,22,100
219,224,223,168,2,88
39,195,158,166,80,76
48,44,52,270,15,20
106,132,10,73,92,52
79,232,22,104,91,91
59,34,193,249,82,76
33,42,169,236,80,66
17,250,85,138,93,98
162,234,108,94,54,92
44,94,171,216,74,67
103,190,108,123,46,75
20,64,83,198,76,33
76,89,157,230,52,62
167,78,177,294,56,69
85,17,154,270,89,60
46,58,244,236,81,96
240,180,238,302,25,94
43,7,237,249,97,93
252,22,199,314,91,99
98,93,173,244,46,68
211,114,193,311,46,83
192,165,86,45,55,75
153,136,196,257,31,77
4,215,178,169,98,84
107,185,170,168,42,73
112,251,123,125,55,98
106,142,23,78,84,56
79,162,201,199,61,79
59,183,214,192,72,84
119,25,112,304,79,47
177,109,137,335,38,69
15,231,188,168,94,91
226,20,73,345,91,89
118,189,90,103,52,74
206,223,143,73,36,87
40,154,99,151,74,60
37,214,142,156,83,84
186,248,41,78,83,97
201,222,246,212,18,96
104,52,55,357,50,41
4,105,65,156,96,41
123,27,34,356,78,48
155,84,144,309,46,61
7,198,182,175,96,78
1,25,195,233,99,76
15,224,167,164,93,88
60,204,117,144,71,80
95,26,46,343,73,37
237,228,97,56,59,93
84,210,232,189,64,91
76,21,61,316,72,30
8,7,56,241,87,22
205,87,46,15,78,80
126,25,206,273,88,81
76,21,142,267,85,56
131,84,108,329,36,51
150,196,42,78,79,77
141,0,84,324,100,55
138,251,157,130,45,98
29,136,61,138,79,53
100,140,31,82,78,55
157,225,200,158,30,88
124,59,104,318,52,49
17,197,73,139,91,77
203,15,178,308,93,80
64,122,190,212,66,75
93,217,153,149,57,85
246,242,91,58,63,96
23,20,152,241,87,60
196,223,24,68,89,87
149,226,4,81,98,89
147,5,149,299,97,58
205,7,56,345,97,80
54,50,140,243,64,55
38,171,188,187,80,74
90,11,147,275,93,58
84,209,167,160,60,82
211,80,60,8,72,83
77,133,123,169,42,52
26,102,4,107,96,40
105,210,26,94,88,82
69,82,158,231,56,62
15,107,104,178,86,42
78,213,29,104,86,84
92,76,222,247,66,87
29,29,44,240,34,17
197,8,234,290,97,92
87,34,152,267,78,60
153,250,63,91,75,98
97,79,50,37,48,38
182,140,137,4,25,71
1,99,39,143,99,39
178,103,46,26,74,70
146,245,194,149,40,96
49,111,113,182,57,44
147,106,119,341,28,58
112,55,145,278,62,57
181,124,225,274,45,88
213,170,55,44,74,84
94,32,120,282,73,47
183,61,1,20,99,72
54,21,58,294,64,23
196,202,22,62,89,79
141,0,35,345,100,55
191,108,13,32,93,75
197,225,33,69,85,88
61,132,90,145,54,52
212,31,4,8,98,83
175,218,0,72,100,85
71,84,252,236,72,99
201,159,234,274,32,92
84,74,110,257,33,43
176,135,189,286,29,74
69,139,136,177,50,55
205,29,159,316,86,80
14,104,46,141,87,41
111,103,60,51,46,44
120,240,156,138,50,94
84,192,174,170,56,75
188,181,223,250,19,87
222,37,101,339,83,87
234,127,75,20,68,92
134,213,154,135,37,84
3,1,100,241,99,39
245,12,5,2,98,96
102,122,239,231,57,94
145,198,108,95,45,78
240,95,229,305,60,94
79,165,71,115,57,65
125,74,186,267,60,73
68,243,1,103,100,95
204,50,195,304,75,80
209,233,79,69,66,91
9,191,33,128,95,75
181,226,25,73,89,89
18,215,237,186,92,93
120,7,252,268,97,99
216,9,53,347,96,85
194,141,27,41,86,76
95,37,151,271,75,59
76,171,105,138,56,67
193,248,69,78,72,97
18,171,1,114,99,67
77,205,66,115,68,80
216,168,1,47,100,85
138,47,174,283,73,68
101,224,220,178,55,88
204,147,152,355,28,80
249,245,88,59,65,98
197,127,178,316,36,77
15,149,35,129,90,58
124,108,254,247,57,100
43,220,206,175,80,86
2,236,182,166,99,93
123,167,237,217,48,93
109,34,141,282,76,55
39,114,205,213,81,80
169,204,91,79,55,80
184,0,214,292,100,84
89,184,58,105,68,72
92,32,29,3,68,36
157,150,98,53,38,62
182,49,22,10,88,71
143,28,156,294,82,61
202,254,91,79,64,100
94,82,120,259,32,47
75,79,130,236,42,51
69,41,79,284,48,31
60,104,199,221,70,78
171,99,248,269,60,97
169,58,3,20,98,66
211,219,96,64,56,86
177,209,114,80,45,82
37,18,167,248,89,65
240,87,128,344,64,94
11,73,32,140,85,29
15,0,167,245,100,65
111,42,33,7,70,44
64,151,38,106,75,59
217,140,130,7,40,85
86,189,31,99,84,74
166,119,224,267,47,88
36,190,84,139,81,75
190,61,127,329,68,75
145,175,118,92,33,69
224,116,10,30,96,88
3,221,218,179,99,87
101,58,179,261,68,70
78,33,234,253,86,92
162,185,51,70,72,73
113,162,48,86,70,64
201,22,194,302,89,79
63,44,44,0,30,25
249,54,225,307,78,98
118,228,150,137,48,89
87,19,90,297,79,35
223,30,160,320,87,87
254,228,187,37,26,100
13,83,64,164,84,33
175,145,7,49,96,69
22,108,5,110,95,42
194,226,183,105,19,89
67,208,179,168,68,82
223,189,60,47,73,87
228,180,165,14,28,89
25,126,127,181,80,50
68,198,72,122,66,78
246,242,1,59,100,96
189,80,217,288,63,85
192,116,21,33,89,75
7,241,249,182,97,98
218,195,135,43,38,85
210,17,227,295,93,89
180,187,88,64,53,73
5,115,21,129,96,45
188,230,100,79,57,90
152,141,121,39,20,60
179,227,199,145,21,89
97,141,235,221,59,92
20,166,30,124,88,65
154,231,82,91,65,91
26,188,93,145,86,74
215,196,212,309,9,84
117,54,182,270,70,71
72,196,13,101,93,77
206,53,135,328,74,81
80,159,153,175,50,62
12,187,43,131,94,73
96,162,226,210,58,89
7,192,173,174,96,75
105,216,212,178,51,85
103,199,181,169,48,78
191,33,207,294,84,81
154,52,179,288,71,70
216,174,190,337,19,85
46,137,64,132,66,54
219,17,143,323,92,86
182,111,118,354,39,71
126,16,87,321,87,49
149,93,41,29,72,58
145,208,100,95,52,82
148,162,179,213,17,70
254,186,61,39,76,100
8,140,86,155,94,55
77,157,19,95,88,62
123,71,218,261,67,85
181,113,211,282,46,83
204,141,84,29,59,80
63,43,179,249,76,70
178,68,84,351,62,70
20,55,172,226,88,67
35,123,34,119,72,48
116,125,213,234,46,84
44,231,88,134,81,91
111,42,104,306,62,44
125,249,129,122,50,98
80,74,61,41,24,31
62,63,63,180,2,25
143,210,200,171,32,82
136,59,183,277,68,72
131,65,226,265,71,89
87,220,124,137,60,86
252,142,222,316,44,99
125,16,77,326,87,49
85,195,109,133,56,76
192,143,123,17,36,75
187,186,9,60,95,73
127,219,50,93,77,86
163,172,161,109,6,67
204,210,29,62,86,82
230,44,87,346,81,90
64,180,73,125,64,71
1,92,61,160,99,36
181,211,57,72,73,83
85,7,137,276,95,54
208,130,187,316,38,82
149,82,212,271,61,83
48,180,111,149,73,71
92,113,209,229,56,82
177,187,69,65,63,73
128,126,66,58,48,50
102,75,221,251,66,87
122,112,224,245,50,88
8,131,54,142,94,51
166,169,217,236,24,85
186,24,43,353,87,73
140,158,153,163,11,62
225,61,83,352,73,88
9,170,190,187,95,75
254,72,165,329,72,100
134,79,17,32,87,53
155,175,238,226,35,93
176,196,16,67,92,77
73,41,67,311,44,29
180,228,199,144,21,89
10,0,212,243,100,83
7,239,116,148,97,94
217,55,182,313,75,85
22,8,13,339,64,9
51,219,156,158,77,86
98,137,102,126,28,54
243,133,54,25,78,95
53,213,132,150,75,84
178,205,185,136,13,80
126,27,210,272,87,82
167,229,124,95,46,90
55,55,16,60,71,22
110,77,67,14,39,43
17,228,16,120,93,89
156,8,166,296,95,65
191,221,182,106,18,87
62,148,251,213,75,98
11,198,233,189,95,91
61,222,229,183,73,90
189,111,33,30,83,74
47,57,54,162,18,22
130,116,232,247,50,91
1,89,13,128,99,35
46,137,98,154,66,54
37,140,18,111,87,55
15,234,0,116,100,92
133,203,170,152,34,80
236,76,231,302,68,93
43,199,68,130,78,78
199,11,65,343,94,78
6,142,211,200,97,83
44,105,49,125,58,41
146,80,243,264,67,95
98,236,50,105,79,93
139,180,105,93,42,71
74,27,194,257,86,76
243,243,31,60,87,95
52,233,111,140,78,91
232,237,171,65,28,93
172,188,30,66,84,74
216,186,93,45,57,85
15,96,16,121,84,38
158,24,54,347,85,62
19,220,215,179,91,86
208,233,122,74,48,91
178,123,123,0,31,70
90,254,57,110,78,100
204,84,201,301,59,80
165,230,191,144,28,90
55,230,179,163,76,90
6,250,18,123,98,98
22,20,141,241,86,55
34,173,24,116,86,68
83,253,216,167,67,99
236,48,46,1,81,93
239,13,177,316,95,94
142,111,22,45,85,56
80,29,26,3,68,31
174,13,159,306,93,68
148,172,17,69,90,67
99,22,79,316,78,39
38,128,60,135,70,50
218,82,15,20,93,85
203,186,214,276,13,84
251,242,21,58,92,98
18,146,65,142,88,57
130,59,34,16,74,51
175,165,227,250,27,89
204,81,231,289,65,91
63,89,116,211,46,45
119,174,97,103,44,68
35,178,137,163,80,70
58,191,20,107,90,75
218,137,211,305,37,85
189,50,212,291,76,83
232,249,49,65,80,98
50,160,176,188,72,69
40,216,96,139,81,85
124,137,76,73,45,54
30,72,79,189,62,31
89,60,21,34,76,35
209,221,21,64,90,87
60,204,76,127,71,80
120,229,62,99,73,90
244,247,151,62,39,97
53,114,111,177,54,45
220,152,119,20,46,86
98,47,123,280,62,48
219,160,251,279,36,98
5,103,213,212,98,84
134,55,117,313,59,53
203,113,83,15,59,80
97,124,161,215,40,63
50,153,251,209,80,98
11,10,60,241,83,24
215,205,89,55,59,84
254,69,155,332,73,100
92,191,71,109,63,75
252,150,225,316,40,99
152,58,134,311,62,60
103,178,116,130,42,70
135,11,3,4,98,53
15,95,229,218,93,90
49,204,71,129,76,80
42,214,114,145,80,84
167,102,147,318,39,65
20,22,163,239,88,64
46,202,55,123,77,79
18,110,233,214,92,91
179,75,151,316,58,70
248,224,114,49,54,97
216,66,118,339,69,85
190,48,85,344,75,75
70,1,145,269,99,57
206,132,149,346,36,81
79,91,238,235,67,93
150,105,71,26,53,59
202,142,184,318,30,79
74,57,73,304,23,29
125,101,12,47,90,49
145,178,223,215,35,87
238,146,207,320,39,93
204,27,231,292,88,91
46,65,148,229,69,58
178,46,43,1,76,70
1,233,149,158,100,91
104,152,168,195,38,66
187,40,11,10,94,73
212,98,0,28,100,83
96,51,222,256,77,87
191,174,62,52,68,75
78,242,62,115,74,95
175,197,49,69,75,77
123,10,113,305,92,48
143,72,243,265,70,95
130,159,186,209,30,73
114,173,227,209,50,89
165,30,120,320,82,65
116,24,195,272,88,76
16,68,101,203,84,40
88,147,125,158,40,58
46,238,246,182,81,96
66,40,28,19,58,26
247,240,10,58,96,97
39,141,175,195,78,69
154,27,163,296,83,64
61,177,123,152,66,69
27,60,231,230,88,91
123,214,11,87,95,84
49,81,33,100,59,32
58,239,68,123,76,94
229,243,180,73,26,95
135,215,53,90,75,84
87,253,197,160,66,99
94,52,178,260,71,70
161,147,36,53,78,63
220,226,61,62,73,89
201,92,102,354,54,79
235,143,45,31,81,92
106,212,8,91,96,83
217,174,86,40,60,85
105,202,89,112,56,79
7,77,28,138,91,30
45,184,38,117,79,72
17,237,103,143,93,93
3,223,236,183,99,93
105,227,230,181,54,90
15,147,116,166,90,58
215,208,252,250,17,99
89,1,193,267,99,76
163,175,161,111,8,69
126,16,248,268,94,97
198,241,65,75,73,95
164,42,224,280,81,88
180,48,242,281,80,95
31,37,201,238,85,79
236,104,110,357,56,93
210,252,38,72,85,99
190,231,201,136,18,91
71,147,94,138,52,58
62,149,21,101,86,58
85,199,102,129,57,78
171,163,24,57,86,67
205,220,247,219,17,97
225,108,37,23,84,88
209,10,215,298,95,84
215,233,245,204,12,96
167,187,98,73,48,73
142,217,127,110,41,85
45,37,213,243,83,84
151,150,86,59,43,59
60,201,66,123,70,79
39,6,224,249,97,88
82,46,252,250,82,99
89,201,2,94,99,79
78,3,22,345,96,31
180,32,39,357,82,71
15,65,181,222,92,71
83,141,187,207,56,73
188,218,46,70,79,85
232,69,224,303,70,91
73,246,102,130,70,96
32,91,236,223,86,93
174,0,153,307,100,68
45,158,209,199,78,82
125,250,162,138,50,98
73,239,99,129,69,94
246,198,132,35,46,96
219,251,180,87,28,98
24,154,0,111,100,60
195,94,128,340,52,76
53,85,123,213,57,48
58,146,116,160,60,57
163,191,94,77,51,75
26,227,74,134,89,89
195,87,165,317,55,76
137,218,176,149,37,85
58,122,204,214,72,80
83,64,143,254,55,56
27,44,132,230,80,52
108,109,122,236,11,48
239,158,210,321,34,94
112,6,189,275,97,74
223,63,179,317,72,87
162,226,184,141,28,89
109,181,86,105,52,71
80,102,94,158,22,40
113,53,158,274,66,62
218,107,202,309,51,85
108,129,142,203,24,56
174,76,36,17,79,68
112,60,118,294,49,46
135,128,76,53,44,53
79,62,47,28,41,31
9,242,30,125,96,95
23,246,121,146,91,96
84,83,67,56,20,33
210,184,191,344,12,82
22,206,15,118,93,81
1,253,45,130,100,99
199,147,23,42,88,78
88,200,51,105,74,78
18,58,120,216,85,47
164,77,97,346,53,64
46,153,189,195,76,74
69,137,222,213,69,87
65,213,218,182,70,85
55,243,235,177,77,95
23,169,26,121,86,66
77,219,9,101,96,86
40,27,77,256,65,30
187,244,230,165,23,96
68,149,107,149,54,58
133,52,138,297,62,54
225,106,62,16,72,88
184,68,251,278,73,98
130,244,161,136,47,96
99,190,210,191,53,82
78,250,109,131,69,98
216,192,27,52,88,85
221,2,95,335,99,87
236,5,14,358,98,93
108,158,141,160,32,62
54,191,5,104,97,75
239,2,190,312,99,94
29,228,175,164,87,89
147,163,23,67,86,64
194,65,155,318,66,76
39,201,51,124,81,79
165,207,108,85,48,81
80,251,14,103,94,98
90,1,146,277,99,57
240,100,244,298,59,96
11,233,48,130,95,91
83,197,44,105,78,77
79,179,79,120,56,70
228,122,54,23,76,89
211,132,203,306,37,83
124,140,249,232,50,98
203,18,91,336,91,80
103,36,179,268,80,70
144,160,206,225,30,81
31,127,101,164,76,50
232,1,177,314,100,91
196,102,42,23,79,77
21,137,172,194,88,67
249,133,197,327,47,98
75,203,153,157,63,80
237,122,47,24,80,93
230,91,132,342,60,90
247,191,245,302,23,97
206,3,127,323,99,81
56,38,175,248,78,69
39,251,133,147,84,98
69,70,138,239,50,54
177,251,17,79,93,98
253,234,138,50,45,99
23,58,128,220,82,50
175,207,196,159,15,81
134,176,117,103,34,69
102,249,79,112,68,98
86,143,151,187,43,59
104,190,170,166,45,75
88,14,128,279,89,50
55,226,134,148,76,89
225,60,198,310,73,88
156,24,130,312,85,61
131,133,125,75,6,52
65,170,12,100,93,67
246,156,180,344,37,96
123,240,40,95,83,94
78,210,123,140,63,82
12,153,201,195,94,79
22,82,99,193,78,39
123,25,178,278,86,70
160,35,151,304,78,63
187,14,157,310,93,73
65,205,189,173,68,80
172,40,224,283,82,88
182,134,203,282,34,80
116,203,252,202,54,99
243,132,174,337,46,95
158,181,1,68,99,71
134,176,254,219,47,100
161,12,141,308,93,63
57,64,140,235,59,55
228,155,159,357,32,89
232,132,9,33,96,91
25,143,147,182,83,58
106,209,167,156,49,82
183,165,185,294,11,73
182,216,58,73,73,85
40,168,23,113,86,66
162,14,235,280,94,92
2,71,203,219,99,80
157,123,111,16,29,62
110,144,83,93,42,56
83,139,104,143,40,55
204,126,82,22,60,80
164,109,119,349,34,64
224,49,205,307,78,88
75,16,212,258,92,83
173,92,128,333,47,68
166,185,119,77,36,73
239,10,213,307,96,94
71,167,188,191,62,74
127,87,26,36,80,50
158,188,54,73,71,74
11,218,113,150,95,85
47,186,146,163,75,73
28,148,115,163,81,58
55,19,158,256,88,62
57,42,97,256,57,38
146,44,0,18,100,57
72,160,144,169,55,63
38,52,4,78,92,20
70,90,15,76,83,35
18,47,124,224,85,49
142,1,102,317,99,56
225,48,202,308,79,88
240,185,183,2,24,94
109,35,90,315,68,43
121,146,10,71,93,57
106,41,166,271,75,65
3,131,108,169,98,51
52,253,201,164,79,99
135,190,149,135,29,75
121,97,38,43,69,47
91,92,205,239,56,80
201,47,117,333,77,79
156,140,206,255,32,81
195,65,224,289,71,88
6,42,133,223,95,52
149,82,189,278,57,74
73,247,117,135,70,97
133,112,51,45,62,52
118,134,33,70,75,53
178,67,7,21,96,70
252,242,27,57,89,99
151,202,81,85,60,79
231,201,195,10,16,91
85,207,75,115,64,81
56,23,81,274,72,32
19,240,36,125,92,94
128,123,49,56,62,50
159,147,240,248,39,94
233,99,4,25,98,91
29,192,208,185,86,82
105,34,116,292,71,45
58,183,157,168,68,72
222,50,11,11,95,87
229,232,187,64,19,91
244,20,222,306,92,96
194,98,208,292,53,82
62,144,110,155,57,56
19,72,243,226,92,95
101,70,62,12,39,40
46,1,55,290,98,22
251,42,88,347,83,98
167,225,199,153,26,88
77,31,102,279,70,40
198,6,129,322,97,78
50,57,235,238,79,92
167,115,22,38,87,65
225,125,40,28,82,88
56,154,7,100,95,60
183,51,231,284,78,91
238,163,216,318,32,93
238,109,110,360,54,93
149,210,135,109,36,82
38,176,28,116,84,69
94,240,119,130,61,94
199,1,102,329,99,78
93,150,143,173,38,59
125,28,159,284,82,62
67,128,241,219,72,95
139,240,233,176,42,94
16,180,25,123,91,71
11,156,23,125,93,61
126,163,148,156,23,64
94,229,160,149,59,90
87,168,133,154,48,66
181,64,137,323,65,71
11,207,194,176,95,81
8,63,106,206,92,42
117,63,59,4,50,46
74,126,249,222,70,98
142,119,230,252,48,90
188,8,5,1,97,74
89,92,112,232,21,44
238,233,78,58,67,93
226,79,54,9,76,89
91,135,181,211,50,71
224,179,235,288,24,92
3,153,118,166,98,60
207,87,13,23,94,81
231,159,246,290,35,96
252,242,59,57,77,99
111,45,194,267,77,76
254,13,205,312,95,100
126,68,32,23,75,49
12,213,159,164,94,84
8,95,11,122,92,37
66,0,4,356,100,26
212,208,131,57,38,83
161,23,109,323,86,63
48,171,27,111,84,67
13,69,174,219,93,68
12,205,173,170,94,80
152,248,59,90,76,97
148,88,193,274,54,76
171,114,181,291,37,71
68,7,68,300,90,27
9,220,77,139,96,86
166,6,211,287,97,83
107,112,0,63,100,44
148,163,50,68,69,64
115,154,193,210,40,76
173,218,32,75,85,85
40,176,54,126,77,69
223,60,12,14,95,87
210,230,67,67,71,90
155,53,94,336,66,61
221,120,145,345,46,87
47,151,126,166,69,59
26,207,206,180,87,81
174,102,193,287,47,76
52,61,137,234,62,54
86,237,147,144,64,93
60,198,112,143,70,78
175,82,119,336,53,69
109,104,106,336,5,43
201,90,146,330,55,79
251,143,113,13,55,98
158,89,208,275,57,82
167,72,251,272,71,98
65,91,188,227,65,74
168,242,13,79,95,95
66,235,182,161,72,92
122,75,14,34,89,48
12,148,117,166,92,58
77,13,220,259,94,86
237,127,159,343,46,93
87,89,212,239,59,83
167,145,130,24,22,65
50,177,63,126,72,69
114,110,99,44,13,45
184,249,21,77,92,98
112,105,97,32,13,44
148,190,85,84,55,75
174,33,48,354,81,68
215,60,252,288,76,99
216,38,36,1,83,85
235,208,230,311,11,92
196,2,163,310,99,77
136,11,131,302,92,53
33,55,132,227,75,52
211,114,215,298,47,84
218,60,156,324,72,85
34,80,196,223,83,77
20,97,80,167,79,38
162,236,1,79,100,93
114,80,70,14,39,45
103,168,209,203,51,82
213,81,209,302,62,84
207,17,96,335,92,81
61,242,40,114,83,95
18,3,93,250,97,36
166,248,49,85,80,97
95,53,216,255,75,85
24,224,70,134,89,88
94,55,197,256,72,77
49,34,219,245,84,86
96,174,216,201,56,85
102,241,50,104,79,95
41,125,203,209,80,80
110,159,22,81,86,62
157,209,150,113,28,82
199,22,86,338,89,78
125,254,21,93,92,100
133,32,35,358,76,52
183,112,202,287,45,79
107,197,53,98,73,77
68,65,47,51,31,27
39,229,99,139,83,90
126,224,86,103,62,88
221,209,110,54,50,87
2,31,65,212,97,25
130,65,37,18,72,51
160,48,19,12,88,63
60,191,0,101,100,75
115,240,66,103,73,94
158,89,12,32,92,62
191,130,203,290,36,80
249,236,21,57,92,98
187,37,80,343,80,73
105,166,204,203,49,80
163,192,75,75,61,75
247,37,200,313,85,97
60,225,210,175,73,88
55,1,203,256,100,80
42,179,46,122,77,70
167,173,58,63,66,68
61,103,162,215,62,64
179,17,181,299,91,71
248,250,181,62,28,98
193,95,65,14,66,76
230,69,233,299,70,91
160,89,217,273,59,85
221,188,223,297,16,87
93,156,203,206,54,80
237,234,195,56,18,93
204,154,72,37,65,80
112,130,9,69,93,51
28,107,245,218,89,96
237,116,189,324,51,93
220,165,69,38,69,86
22,3,169,247,98,66
204,131,130,1,36,80
132,65,74,352,51,52
185,205,68,69,67,80
53,96,17,93,82,38
78,78,190,240,59,75
167,72,155,308,57,65
174,123,75,29,57,68
49,63,88,218,44,35
171,238,107,91,55,93
41,144,115,163,72,56
169,142,200,268,29,78
140,92,63,23,55,55
248,69,165,328,72,97
6,132,2,118,98,52
250,107,122,354,57,98
65,218,102,135,70,85
121,239,2,90,99,94
8,14,36,227,78,14
226,246,75,67,70,96
76,185,202,188,62,79
120,176,145,147,32,69
82,208,96,127,61,82
36,50,179,234,80,70
145,41,79,338,72,57
137,76,116,321,45,54
159,224,230,185,31,90
138,100,233,257,57,91
135,217,58,91,73,85
105,125,206,228,49,81
57,227,151,153,75,89
77,51,250,248,80,98
171,39,245,278,84,96
13,191,9,119,95,75
24,33,245,238,90,96
154,25,12,5,92,60
122,230,73,101,68,90
245,19,116,334,92,96
219,176,236,283,25,93
166,90,11,31,93,65
99,233,178,155,58,91
90,216,60,108,72,85
71,123,13,88,89,48
234,60,174,321,74,92
46,249,193,163,82,98
84,124,188,217,55,74
106,50,143,276,65,56
29,134,217,206,87,85
247,208,153,35,38,97
166,240,118,96,51,94
58,159,14,102,91,62
124,13,68,330,90,49
84,137,133,175,39,54
19,40,75,217,75,29
166,70,206,282,66,81
86,145,222,214,61,87
133,166,69,80,58,65
192,168,202,282,17,79
202,229,198,112,14,90
147,134,68,50,54,58
219,191,128,42,42,86
154,226,2,79,99,89
7,216,229,184,97,90
109,242,212,166,55,95
61,156,158,181,61,62
132,22,164,286,87,64
165,162,2,59,99,65
62,133,39,105,71,52
20,134,135,181,85,53
2,233,145,157,99,91
241,187,88,39,63,95
66,129,183,208,64,72
207,123,172,325,41,81
138,179,12,75,93,70
61,159,10,99,94,62
134,67,149,289,55,58
91,81,122,255,34,48
25,58,184,228,86,72
120,177,127,127,32,69
95,139,147,189,35,58
23,239,150,155,90,94
137,112,224,253,50,88
158,125,67,38,58,62
178,235,27,76,89,92
237,94,183,323,60,93
42,58,253,235,83,99
93,54,53,1,43,36
120,153,234,223,49,92
202,211,246,228,18,96
248,142,14,33,94,97
47,242,145,150,81,95
221,108,0,29,100,87
189,57,219,289,74,86
22,27,33,213,33,13
244,4,212,308,98,96
112,41,191,268,79,75
64,16,209,255,92,82
142,120,157,276,24,62
67,110,173,216,61,68
76,123,116,171,38,48
49,240,144,150,80,94
15,164,66,141,91,64
66,11,142,265,92,56
224,1,119,328,100,88
123,55,212,266,74,83
61,170,29,106,83,67
201,81,154,324,60,79
44,98,53,130,55,38
72,116,248,225,71,97
75,102,25,81,75,40
173,245,206,148,29,96
116,153,84,92,45,60
253,244,152,55,40,99
213,192,77,51,64,84
73,129,163,203,55,64
136,61,52,6,62,53
202,221,180,88,19,87
182,50,219,287,77,86
143,249,24,88,90,98
233,212,55,53,76,91
188,39,246,283,84,96
234,158,241,295,34,95
57,174,4,101,98,68
232,71,33,11,86,91
25,246,118,145,90,96
179,251,183,123,29,98
52,140,61,126,63,55
174,173,120,59,31,68
134,17,17,0,87,53
130,164,45,77,73,64
28,76,74,178,63,30
109,184,62,97,66,72
23,68,57,165,66,27
244,0,112,332,100,96
142,63,112,323,56,56
253,127,23,27,91,99
153,51,2,19,99,60
116,100,155,257,35,61
126,188,52,87,72,74
215,85,41,15,81,84
133,26,95,321,80,52
251,53,105,344,79,98
128,180,47,83,74,71
54,138,252,215,79,99
180,141,4,47,98,71
3,70,191,219,98,75
183,79,171,307,57,72
137,186,175,167,26,73
96,224,166,153,57,88
203,223,169,82,24,87
120,184,95,103,48,72
87,107,141,218,38,55
157,215,86,87,60,84
49,37,2,45,96,19
87,158,63,105,60,62
88,17,147,273,88,58
62,150,183,196,66,72
108,223,193,164,52,87
136,154,211,226,36,83
218,96,63,13,71,85
141,130,171,256,24,67
155,180,124,87,31,71
191,193,77,61,60,76
201,86,150,327,57,79
141,224,74,93,67,88
68,161,225,204,70,88
10,45,42,175,78,18
58,22,211,251,90,83
237,33,210,308,86,93
248,66,137,337,73,97
3,153,84,152,98,60
130,95,124,310,27,51
149,44,219,276,80,86
223,123,44,26,80,87
63,60,84,248,29,33
229,125,86,16,62,90
220,145,166,343,34,86
127,113,136,277,17,53
213,84,122,342,61,84
230,176,231,299,24,91
122,28,9,10,93,48
165,157,169,280,7,66
240,38,55,355,84,94
38,225,58,126,83,88
228,141,133,5,42,89
134,59,44,10,67,53
139,227,15,85,93,89
78,120,103,156,35,47
10,95,242,218,96,95
101,218,219,181,54,86
107,160,112,126,33,63
16,45,201,231,92,79
161,28,121,318,83,63
63,70,135,234,53,53
90,113,135,209,33,53
223,162,212,311,27,87
107,176,38,90,78,69
188,89,134,333,53,74
23,161,46,130,86,63
19,204,6,116,97,80
236,68,198,314,71,93
26,149,198,197,87,78
48,116,106,171,59,45
7,124,11,122,94,49
220,36,232,296,84,91
152,134,53,49,65,60
147,192,234,209,37,92
154,152,87,58,44,60
126,239,76,102,68,94
89,133,143,191,38,56
14,46,3,105,93,18
136,12,219,276,95,86
202,204,227,235,11,89
252,111,230,309,56,99
148,27,212,279,87,83
42,223,244,186,83,96
31,139,248,210,88,97
159,180,174,163,12,71
58,219,39,114,82,86
59,252,167,154,77,99
186,199,155,78,22,78
207,125,61,26,71,81
126,18,100,314,86,49
112,65,204,260,68,80
201,222,228,193,12,89
63,220,97,133,71,86
29,204,148,161,86,80
133,251,120,114,52,98
54,30,233,247,87,91
253,34,89,345,87,99
62,175,64,121,65,69
234,140,229,303,40,92
76,162,170,185,55,67
117,96,102,343,18,46
237,184,123,32,48,93
239,243,145,62,40,95
122,182,188,185,35,74
155,57,89,340,63,61
129,253,114,114,55,99
241,171,142,18,41,95
54,237,19,110,92,93
149,209,92,91,56,82
78,133,0,85,100,52
237,34,5,7,98,93
253,18,57,350,93,99
106,143,57,86,60,56
229,90,174,324,61,90
119,144,29,73,80,56
167,102,241,268,58,95
86,108,249,232,65,98
254,83,199,319,67,100
125,4,37,344,97,49
162,66,117,328,59,64
127,188,36,84,81,74
80,234,58,112,75,92
147,13,44,346,91,58
250,102,44,17,82,98
111,18,116,297,84,45
28,187,57,131,85,73
231,75,5,19,98,91
128,194,46,87,76,76
164,33,102,328,80,64
77,63,234,245,73,92
110,240,174,150,54,94
170,209,116,85,44,82
155,2,59,338,99,61
11,39,24,148,72,15
52,44,41,16,21,20
40,134,205,206,80,80
236,234,172,58,27,93
74,21,71,303,72,29
204,207,50,61,76,81
244,77,34,12,86,96
144,161,59,70,63,63
124,136,25,66,82,53
152,235,136,110,42,92
243,92,196,319,62,95
79,208,181,167,62,82
9,187,194,182,95,76
120,209,80,101,62,82
20,165,9,116,95,65
43,201,214,185,80,84
22,192,120,155,89,75
16,216,205,177,93,85
